id,title,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments,class
5vYA1mW9g2Coh1HUFUSmlb,3AM,0.521,0.673,8,-8.685,1,0.00573,0.0,0.12,0.543,108.031,225947,4,100,8,830,1
2klCjJcucgGQysgH170npL,4 Walls,0.735,0.849,4,-4.308,0,0.212,2.94e-05,0.0608,0.223,125.972,207477,4,107,7,999,1
093PI3mdUvOSlvMYDwnV1e,11:11,0.445,0.528,10,-7.243,1,0.677,0.0,0.155,0.511,203.155,223452,4,187,12,776,1
64yrDBpcdwEdNY9loyEGbX,21 Guns,0.268,0.742,5,-4.939,1,0.0518,0.0,0.626,0.416,159.779,321093,4,214,9,837,1
2jiI8bNSDu7UxTtDCOqh3L,21,0.68,0.724,6,-5.633,0,0.163,0.0,0.349,0.566,109.974,207130,4,94,9,759,1
7kcCB7oh6X4bSoFCvrHLvG,24/7,0.762,0.594,0,-5.465,1,0.1,0.0,0.123,0.337,98.025,243324,4,97,10,908,1
6b8Be6ljOzmkOmFslEb23P,24K Magic,0.818,0.803,1,-4.282,1,0.034,0.0,0.153,0.632,106.97,225983,4,101,9,966,1
38td8VabuKlQt72Q2VnhbO,134340,0.664,0.688,11,-6.466,0,0.153,9.14e-05,0.173,0.65,106.022,230063,4,99,8,950,1
60ONwBU0GgM3kJhPEOhTx0,About The Distance,0.688,0.177,8,-14.061,0,0.454,0.626,0.376,0.316,79.994,192000,4,64,9,682,1
3MtxiqrTNRwtj9EIVDjRSU,Afterlife,0.46,0.622,7,-4.886,0,0.0904,9.23e-06,0.255,0.212,88.03,364091,4,132,14,994,1
7nT4rMprxiA9H9HM3oZ1Kq,Again,0.614,0.547,5,-11.772,0,0.767,0.893,0.0919,0.226,92.99,172000,4,65,8,698,1
1trFxVLL8WKhYap543e74l,Airplane pt.2,0.769,0.817,0,-4.092,0,0.0268,9.95e-05,0.084,0.866,139.979,218615,4,125,10,921,1
2UM6b78kBrge7Esaoz93kk,Alejandro,0.623,0.793,11,-6.63,0,0.000397,0.0015,0.375,0.36,98.998,274213,4,112,9,1137,1
74HHgWX80N5YfZpvEQOUov,Alive,0.331,0.837,2,-4.17,0,0.00259,0.0221,0.128,0.192,117.963,206427,5,108,8,770,1
6jLsYKGOBRBRvdowIzuyUf,All I Wanna Do (feat. Hoody & 로꼬 Loco) [Korean Version],0.4,0.724,8,-6.064,1,0.375,0.0,0.0927,0.43,96.782,216786,4,93,9,951,1
3GdvlmQ8GgfFokp1hpdRJ2,All Mine,0.585,0.85,11,-3.625,1,0.176,0.0,0.457,0.648,127.974,203857,4,106,10,820,1
1UwERmn5UogyCz6qo21BmA,All Night,0.777,0.807,9,-4.101,0,0.0308,2.93e-05,0.228,0.732,129.984,222894,4,118,9,902,1
2FG7k4aaCUjXX6NpCkCpgC,All Night Long,0.758,0.686,9,-4.213,0,0.0234,2.81e-06,0.0928,0.904,89.019,222693,4,81,11,825,1
76ui6kPzjm2vKODEIOZMXK,All the People,0.678,0.245,9,-17.836,1,0.859,0.847,0.12,0.333,84.919,172235,4,60,6,524,1
5XRHGXut00SrJUFmcn2lQF,All The Right Moves,0.53,0.95,0,-3.526,1,0.284,1.01e-05,0.211,0.733,146.035,238000,4,145,11,903,1
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),0.698,0.633,8,-4.946,1,0.0605,0.000194,0.0926,0.552,96.924,232187,4,92,12,976,1
6tBdTwcyyGq1HU3PXgZK82,All The Things She Said,0.604,0.831,5,-5.72,0,0.0359,0.00854,0.105,0.447,89.994,214440,4,78,7,928,1
5TdKQtQXE6lPJfYhi59lAZ,All Us,0.439,0.291,3,-10.665,0,0.0244,0.641,0.358,0.397,39.97,129000,4,30,5,570,1
3pGNBm0zULLn7K9Vvxjjz1,Almost Home,0.382,0.0682,4,-19.178,1,0.874,0.915,0.0801,0.34,84.451,169187,4,57,5,538,1
7svJ308NOS6EMHd7D1YZnw,amber,0.928,0.305,11,-16.385,0,0.424,0.734,0.0792,0.234,133.98,117761,4,65,5,520,1
6nTiIhLmQ3FWhvrGafw2zj,American Idiot,0.38,0.988,1,-2.042,1,2.64e-05,7.86e-05,0.368,0.769,186.113,176346,4,134,9,729,1
3wBIDJLDvo0h0u1mKU9Bm6,Amsterdam,0.516,0.768,9,-4.964,1,0.00852,8.49e-06,0.136,0.204,115.005,241427,4,114,10,770,1
0Yz3F0UGDibDe8uU69zmjn,And July (feat. DEAN & DJ Friz),0.735,0.852,2,-3.85,1,0.0401,0.0,0.196,0.788,98.494,226128,4,92,13,844,1
5s8TNhF23nv2Pumf0JTe2i,Animals,0.279,0.742,4,-6.46,0,0.000185,0.0,0.593,0.328,189.868,231013,4,162,11,921,1
393Zq7DKr6IxkmJp5bRe6j,anything in the world,0.657,0.564,11,-4.523,1,0.724,0.257,0.372,0.444,140.035,116492,4,67,5,442,1
7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,0.786,0.853,8,-2.687,1,0.0688,0.0,0.0759,0.45,125.034,213264,4,108,9,781,1
1tjC7aF6ixOCqZxJtIO8dz,Automatic,0.598,0.604,5,-6.406,0,0.0996,0.0,0.387,0.707,179.938,210160,4,155,10,880,1
27lhifdMn6erYRxLq1lrxA,Awakening,0.746,0.217,4,-11.789,0,0.843,0.932,0.331,0.46,160.135,114000,4,74,4,449,1
1EYSS9Lp7a9f20C3FaOVgI,Baby Don’t Stop,0.827,0.739,8,-6.391,1,0.0214,4.13e-06,0.043,0.352,95.999,183020,4,73,9,796,1
4O0vUrKu4zu5cgnfOvli0B,Babyyy,0.621,0.364,1,-10.187,1,0.656,0.873,0.718,0.268,82.014,126440,4,41,3,572,1
64XSAtXpCJUmadm3fkpH4z,Back 2 Good,0.559,0.504,7,-9.455,1,0.106,0.0,0.13,0.479,89.051,340173,4,122,19,1097,1
2kGMGxlrbOLhRzGQISekBZ,Back Home,0.705,0.234,8,-10.145,1,0.819,0.924,0.108,0.348,86.02,159125,4,56,8,588,1
5GKwq4sO5ZHKuWaDmdwMQc,Bad Boy,0.714,0.736,2,-3.801,1,0.191,0.0,0.0553,0.814,149.985,210818,4,128,10,833,1
6MjiVEJy1YVuJNFu72OH61,Bad Romance,0.695,0.919,0,-3.769,1,0.00264,4.1e-05,0.062,0.717,119.002,294640,4,143,12,1115,1
0QIRm9sUkGnezGznkWCqCo,BANG BANG BANG,0.694,0.832,5,-3.038,0,0.0192,0.0,0.355,0.424,135.011,220238,4,121,10,874,1
6L89mwZXSOwYl76YXfX13s,Basket Case,0.442,0.943,3,-3.205,1,0.00293,8.71e-06,0.091,0.781,85.064,181533,4,64,3,657,1
3pM8P070gawGMIK7TTFgW1,Bastia,0.621,0.249,9,-13.105,0,0.862,0.898,0.0772,0.142,84.991,160941,4,55,5,583,1
4as4XEOR03oGm1STUKl6pa,BBIBBI,0.839,0.617,7,-4.692,1,0.241,0.0,0.3,0.821,143.894,194426,4,115,6,759,1
3AcNJMYU4v7mr1DEWEWGmh,Be Natural (feat. SR14B 'TAEYONG (태용)'),0.58,0.868,10,-1.195,0,0.123,0.0,0.302,0.772,178.002,280451,4,208,12,1181,1
4pWawf1Rq4qHDv4Ktqjg2D,Beautiful Creatures (feat. MAX),0.589,0.826,0,-4.577,0,0.0663,0.000735,0.367,0.215,117.099,240508,4,116,12,916,1
1VuBmEauSZywQVtqbxNqka,Beautiful Day,0.537,0.921,2,-6.474,1,0.0144,0.00479,0.382,0.467,136.264,248067,4,139,6,931,1
5EuAj9nZiWRKeBkgxMXsW4,Beautiful Girls,0.745,0.666,9,-5.899,1,0.159,0.0,0.302,0.708,129.995,241933,4,129,11,956,1
05KfyCEE6otdlT1pp2VIjP,Believer,0.772,0.775,10,-4.388,0,0.0417,0.0,0.226,0.748,124.978,203782,4,105,10,755,1
6fA7akEuTUL3dW1V0GELaZ,Bent,0.518,0.83,6,-6.814,0,0.0404,3.85e-06,0.375,0.527,95.468,256133,4,102,9,917,1
6Xk7PnitV9jCRorWt2LiVZ,Berzerk,0.739,0.872,11,-4.059,0,0.0217,0.0,0.26,0.684,95.084,238746,4,94,11,996,1
5Hroj5K7vLpIG4FNCRIjbP,Best Day Of My Life,0.673,0.902,2,-2.378,1,0.0629,0.000174,0.0552,0.521,100.016,194240,4,78,8,725,1
2tdq0CeAGSfhI2l4Gwkvgx,Best Of Me,0.651,0.756,8,-4.388,1,0.0298,0.0,0.396,0.473,121.96,227191,4,114,10,842,1
5FZxsHWIvUsmSK1IAvm2pp,Best of You,0.366,0.94,1,-5.119,0,0.000769,9.42e-05,0.188,0.369,130.198,255627,4,137,10,865,1
4T3fNx3CgwDRRYgmFCbD4J,Better,0.442,0.585,0,-10.332,0,0.0984,0.391,0.14,0.116,97.565,229413,4,91,9,800,1
07nH4ifBxUB4lZcsf44Brn,Blame,0.413,0.856,0,-4.078,0,0.0289,0.00571,0.343,0.35,128.017,212960,4,101,10,824,1
1p80LdxRV74UKvL8gnD7ky,Blank Space,0.752,0.678,5,-5.421,1,0.085,1.64e-06,0.13,0.583,96.009,231827,4,92,10,856,1
0uNKf8j4cNI1DLWpps877e,blankets,0.61,0.147,7,-17.832,0,0.936,0.956,0.111,0.117,79.954,174000,4,55,7,538,1
6LtPIXlIzPOTF8vTecYjRe,Bleeding Love,0.635,0.647,5,-5.865,1,0.192,0.0,0.154,0.203,104.054,262693,4,111,14,946,1
2auTfKFcoQd7z2uFCeuaww,Bleeding Out,0.299,0.754,5,-4.078,0,0.0195,1.3e-06,0.103,0.295,169.373,221053,4,156,10,708,1
0oSNOJEcBIKNcQzRc5TfyR,Blood Sweat & Tears,0.585,0.887,0,-3.825,0,0.0244,0.0,0.361,0.528,92.971,217079,4,82,11,850,1
7DjtkwBT1F9Pod8SggSvJf,Blue,0.69,0.245,1,-10.11,1,0.406,0.916,0.115,0.109,80.027,123042,4,39,4,504,1
0gb636CX4wHmcgqV0ydKdm,BODY,0.769,0.624,4,-5.989,0,0.146,0.0,0.0709,0.753,100.021,209760,4,85,10,888,1
0NeNAcCVtGqLAAmf4FhWWT,BOOMBAYAH,0.658,0.836,5,-3.282,0,0.00264,1.02e-06,0.507,0.387,124.969,240849,4,123,9,901,1
38xWaVFKaxZlMFvzNff2aW,Breakeven,0.63,0.698,10,-4.51,1,0.173,0.0,0.0789,0.529,94.023,261427,4,101,10,935,1
2TYfPBSXeAJQgP1CpkXDUP,Breaking Down,0.58,0.72,1,-5.169,1,0.155,0.00368,0.114,0.639,109.972,229067,4,102,13,739,1
4FDdBqOTzfWfuDfODCOply,Breathe Again,0.625,0.93,8,-4.593,1,0.0498,0.00336,0.677,0.658,150.05,192000,4,119,8,760,1
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,0.316,0.945,4,-3.169,0,0.00895,1.85e-06,0.396,0.32,189.931,235893,4,187,12,771,1
4z9gBZQjGS4QLb4LOvmeuA,Burning Up (Fire),0.627,0.706,10,-3.201,0,0.00227,0.0,0.122,0.536,99.93,203352,4,84,12,789,1
3kOtrXdDW7zkcLP5IrMmDc,By The Shore,0.834,0.256,0,-9.433,0,0.642,0.0156,0.104,0.496,88.944,194164,4,71,9,687,1
2ftBcyzDa2REbBy7pMfbTT,Bye Babe,0.915,0.464,1,-5.289,1,0.128,0.0,0.0785,0.912,106.034,198256,4,86,11,753,1
2yiZyjMEByt9sJBZWnWaDR,Bye Bye Bye,0.571,0.87,8,-3.877,0,0.0198,6.6e-06,0.0564,0.813,172.716,199640,4,143,9,816,1
4jdiqVbH1eUwc4MzDV7GMu,CALL ME BABY,0.692,0.886,1,-2.519,1,0.284,0.0,0.341,0.879,100.03,211013,4,86,8,871,1
65Wn0KpbPXTVLNQNEMtK1j,Call On Me - Radio Edit,0.597,0.837,10,-6.518,1,0.00427,0.00114,0.839,0.447,126.342,171360,4,88,10,644,1
6ObpR8ek44tvWefQRcSo8K,Calling All My Lovelies,0.662,0.705,1,-6.56,0,0.0392,2.38e-06,0.105,0.865,159.996,250080,4,165,10,894,1
10FP9hm2aFfAIKEopqaG9D,Can't Fight The Moonlight,0.628,0.834,6,-6.341,0,0.403,0.0,0.051,0.626,97.865,215507,4,86,9,736,1
42CeaId2XNlxugDvyqHfDf,Candy Paint,0.765,0.688,4,-5.566,1,0.633,0.0,0.0734,0.434,90.013,229573,4,84,10,875,1
1R6amI33Kxxbxnas1ictrD,Capitano (Instrumental Version),0.4,0.259,5,-17.229,0,0.92,0.774,0.108,0.508,245.327,177946,4,178,8,768,1
3yM1SaSngFZCla4gOOUn2a,Car Radio,0.479,0.452,4,-14.67,0,0.65,0.378,0.379,0.152,52.294,162016,3,45,8,607,1
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,0.461,0.834,2,-4.868,1,0.0232,1.14e-05,0.14,0.471,135.007,261154,4,146,12,914,1
7Bka7BItYbiCQOSbJNx0ni,Cataclysm,0.509,0.867,6,-5.859,1,0.0113,0.383,0.105,0.0675,140.028,300000,4,171,13,1190,1
10VuRG4YCjIDFxTliN02MP,Catch Me If You Can - Korean Version,0.714,0.852,9,-2.76,0,0.0154,0.0,0.135,0.565,133.989,225173,4,126,14,887,1
69gdXYtXQEX9xNeEto8K0q,Cause,0.679,0.45,0,-10.428,1,0.748,0.0589,0.101,0.364,80.075,110071,4,37,6,409,1
1uDhHTNIBF5BJQWTjKnCoa,Celebration Song,0.393,0.959,1,-4.343,1,4e-05,0.000569,0.1,0.61,185.226,219382,4,159,11,712,1
2CvcVMkyBhXHD9d0QIpw4X,Chaos,0.809,0.581,10,-8.294,0,0.0115,0.000513,0.345,0.369,149.949,132038,4,80,5,591,1
7zC7nXQPpj7oVeboU5lYOP,Chariots,0.257,0.973,0,-4.887,1,0.000125,0.00667,0.122,0.458,129.051,276587,4,162,10,980,1
0rpIH5otu7ykvZPdcQuRPh,Chasing Cars,0.556,0.595,9,-4.51,1,0.214,8.33e-05,0.125,0.144,104.001,266347,4,114,15,816,1
1D7e4LrjdB4mKaI9XYrmPY,CHEER UP,0.548,0.885,6,-1.48,1,0.139,0.0,0.0716,0.509,172.946,208862,4,149,11,785,1
28PYwyQETvCDNXMRBFAtzr,Choke,0.652,0.403,9,-14.328,0,0.871,0.808,0.0742,0.089,140.012,180000,4,101,7,444,1
5DPOA0BfvqhGuiuosDgzMN,Christmas Chill,0.638,0.0703,0,-12.257,1,0.318,0.937,0.107,0.648,77.366,125067,4,41,6,419,1
0mBKv9DkYfQHjdMcw2jdyI,Chunky,0.571,0.539,5,-4.446,0,0.0208,0.0,0.125,0.727,202.103,186973,4,157,7,715,1
14p5EKgbPx4U3P1j5JNHeh,"Cigarette (Feat. Tablo, MISO)",0.776,0.392,5,-10.493,0,0.271,2.21e-06,0.14,0.438,87.98,241765,4,86,14,896,1
4ao9bdN6ozxdlQ9j2rGDFy,City Of Blinding Lights,0.447,0.768,8,-3.991,1,0.000264,0.0698,0.111,0.246,139.23,347867,4,200,18,1164,1
0KcV1EQdppMZe78MGT6wBn,clay castle ruins,0.775,0.337,4,-12.263,1,0.868,0.898,0.142,0.885,138.016,139139,4,79,7,595,1
0BCPKOYdS2jbQ8iyB56Zns,Clocks,0.577,0.749,5,-7.215,0,0.599,0.0112,0.183,0.261,130.969,307880,4,166,13,1033,1
6gHQIxtN5UwHJlEaUjcViK,Close Enough,0.696,0.61,0,-7.462,1,0.0279,0.000595,0.257,0.403,99.98,167759,4,68,7,698,1
7BKLCZ1jbUBVqRi2FVlTVw,Closer,0.748,0.524,8,-5.599,1,0.414,0.0,0.111,0.661,95.01,244960,4,94,11,810,1
31qa3MvGhA4FbbeUOhBe4J,cocoa,0.572,0.341,11,-11.924,1,0.934,0.689,0.109,0.7,89.098,86400,4,28,5,271,1
0nKpHGrnuejevp6openGaF,Cold,0.648,0.734,0,-6.289,1,0.368,0.0,0.0938,0.196,167.044,228433,4,159,9,942,1
7qKPyKGfnYRdcpnc1Wz97A,Cold Feet,0.582,0.719,5,-8.884,1,0.0621,0.00294,0.124,0.121,125.988,238117,4,125,9,982,1
2Nbk6e3lExNzZj9AuCwV8C,Cold Skin,0.393,0.695,7,-6.887,0,0.00446,0.00219,0.0986,0.061,143.913,211667,4,123,11,736,1
